TimeStamp - 2021-03-10_12-43-24-198   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package Temperature - 88   |    Max Core Frequency - 2.5569924432583981997029413854   |    Processor Cache Frequency - 2.5937250172549019607843137255   |    Processor Graphics Frequency - 1097.3451996078431372549019608   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.36851608656586762332179861   |    Core 0 Frequency - 2.58357970421552   |    Core 1 Frequency - 2.58357976342249
TimeStamp - 2021-03-10_12-43-25-802   |    CPU Utilization - 100   |    Memory Utilization - 3822   |    Package Temperature - 88   |    Max Core Frequency - 2.5858227978052721057216909415   |    Processor Cache Frequency - 2.5925511764120781527531083483   |    Processor Graphics Frequency - 1096.8485746358792184724689166   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.60594141119849616797744252   |    Core 0 Frequency - 2.59325228966091   |    Core 1 Frequency - 2.59325215019237
TimeStamp - 2021-03-10_12-43-27-509   |    CPU Utilization - 100   |    Memory Utilization - 3826   |    Package Temperature - 89   |    Max Core Frequency - 2.5489333551320666106254351686   |    Processor Cache Frequency - 2.3955051581769436997319034853   |    Processor Graphics Frequency - 1097.9398641644325290437890974   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.859961176555510677321458253   |    Core 0 Frequency - 2.55410663233514   |    Core 1 Frequency - 2.5541059102203
TimeStamp - 2021-03-10_12-43-29-047   |    CPU Utilization - 100   |    Memory Utilization - 3834   |    Package Temperature - 87   |    Max Core Frequency - 2.571310520694774106408985765   |    Processor Cache Frequency - 2.5923321512455516014234875444   |    Processor Graphics Frequency - 1096.7559101423487544483985765   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.379007110210427781216829642   |    Core 0 Frequency - 2.5789140964179   |    Core 1 Frequency - 2.57891618965349
TimeStamp - 2021-03-10_12-43-31-248   |    CPU Utilization - 100   |    Memory Utilization - 3833   |    Package Temperature - 89   |    Max Core Frequency - 2.5654890392368475434913422221   |    Processor Cache Frequency - 2.592987488   |    Processor Graphics Frequency - 1097.0331680   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.483518980163029480658909264   |    Core 0 Frequency - 2.57206834339061   |    Core 1 Frequency - 2.5720697938901
TimeStamp - 2021-03-10_12-43-32-299   |    CPU Utilization - 100   |    Memory Utilization - 3846   |    Package Temperature - 88   |    Max Core Frequency - 2.5770631081679253191186714542   |    Processor Cache Frequency - 2.5962423791741472172351885099   |    Processor Graphics Frequency - 1098.4102373429084380610412926   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.841986203357043177605132157   |    Core 0 Frequency - 2.58079297024955   |    Core 1 Frequency - 2.58079134840823
TimeStamp - 2021-03-10_12-43-33-909   |    CPU Utilization - 100   |    Memory Utilization - 3844   |    Package Temperature - 89   |    Max Core Frequency - 2.5572346847227940926742608696   |    Processor Cache Frequency - 2.5927685883939662821650399290   |    Processor Graphics Frequency - 1096.9405566282165039929015084   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.078010341036086568285493435   |    Core 0 Frequency - 2.56436644457966   |    Core 1 Frequency - 2.56436698980441
TimeStamp - 2021-03-10_12-43-35-385   |    CPU Utilization - 100   |    Memory Utilization - 3846   |    Package Temperature - 89   |    Max Core Frequency - 2.5479770226927250614718575245   |    Processor Cache Frequency - 2.5926131578272484416740872662   |    Processor Graphics Frequency - 1096.8747975422974176313446126   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.541723909173721115229052159   |    Core 0 Frequency - 2.55523502601418   |    Core 1 Frequency - 2.55523668812704
TimeStamp - 2021-03-10_12-43-37-226   |    CPU Utilization - 100   |    Memory Utilization - 3845   |    Package Temperature - 88   |    Max Core Frequency - 2.5266076472085263343410187668   |    Processor Cache Frequency - 2.5925617288099467140319715809   |    Processor Graphics Frequency - 1096.8530391119005328596802842   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.032220097469143163716962121   |    Core 0 Frequency - 2.5318188484408   |    Core 1 Frequency - 2.53182045964068
TimeStamp - 2021-03-10_12-43-38-699   |    CPU Utilization - 100   |    Memory Utilization - 3845   |    Package Temperature - 88   |    Max Core Frequency - 2.515016968963604888743354148   |    Processor Cache Frequency - 2.5965910256556645851917930419   |    Processor Graphics Frequency - 1098.5577416235504014272970562   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.020462365331888708935676724   |    Core 0 Frequency - 2.51831694559841   |    Core 1 Frequency - 2.51831884755675
TimeStamp - 2021-03-10_12-43-40-284   |    CPU Utilization - 100   |    Memory Utilization - 3841   |    Package Temperature - 88   |    Max Core Frequency - 2.4960692724218193617835743913   |    Processor Cache Frequency - 2.5949325723354373309287646528   |    Processor Graphics Frequency - 1097.8560882957619477006311993   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.970994398959371137656077211   |    Core 0 Frequency - 2.50094322553511   |    Core 1 Frequency - 2.50094363818322
TimeStamp - 2021-03-10_12-43-41-817   |    CPU Utilization - 100   |    Memory Utilization - 3840   |    Package Temperature - 89   |    Max Core Frequency - 2.5220873726710433232226203209   |    Processor Cache Frequency - 2.5949825144385026737967914439   |    Processor Graphics Frequency - 1097.8772176470588235294117647   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.268316039498411626477648223   |    Core 0 Frequency - 2.52696391303569   |    Core 1 Frequency - 2.52696274291563
