TimeStamp - 2021-03-10_11-28-36-815   |    CPU Utilization - 100   |    Memory Utilization - 3838   |    Package TDP - 15.341893116732825036425833767   |    Max Core Frequency - 2.5150729974904672271951027704   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.4930275546666666666666666668   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.9321240533333333333333334
TimeStamp - 2021-03-10_11-28-37-991   |    CPU Utilization - 100   |    Memory Utilization - 3836   |    Package TDP - 15.002293320441533826966333702   |    Max Core Frequency - 2.4496720638507937861956014234   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.5946929910320284697508896796   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.7547269750889679715302491
TimeStamp - 2021-03-10_11-28-39-542   |    CPU Utilization - 100   |    Memory Utilization - 3826   |    Package TDP - 14.99364460961698572542860065   |    Max Core Frequency - 2.4482287015662098413879857397   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 88   |    Processor Cache Frequency - 2.2957577586452762923351158645   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.9711019607843137254901961
TimeStamp - 2021-03-10_11-28-40-963   |    CPU Utilization - 100   |    Memory Utilization - 3825   |    Package TDP - 15.27635871865207152331341785   |    Max Core Frequency - 2.4245286785648912259634529308   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.395426137975133214920071048   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.9036465719360568383658970
TimeStamp - 2021-03-10_11-28-42-735   |    CPU Utilization - 100   |    Memory Utilization - 3827   |    Package TDP - 14.654125323601201734094977783   |    Max Core Frequency - 2.4433039920562630291698136201   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 88   |    Processor Cache Frequency - 2.4911710544157002676181980375   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.1152639429081177520071365
TimeStamp - 2021-03-10_11-28-44-557   |    CPU Utilization - 100   |    Memory Utilization - 3829   |    Package TDP - 14.976035922514505735674392592   |    Max Core Frequency - 2.4077204328897533656995191452   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.4950567773820124666073018700   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.8249820480854853072128228
TimeStamp - 2021-03-10_11-28-46-514   |    CPU Utilization - 100   |    Memory Utilization - 3821   |    Package TDP - 14.575507991689227672781709518   |    Max Core Frequency - 2.3944214312361366918472882562   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.1933031851641526175687666370   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.6515925820763087843833185
TimeStamp - 2021-03-10_11-28-47-953   |    CPU Utilization - 100   |    Memory Utilization - 3828   |    Package TDP - 14.855987140071604498505551094   |    Max Core Frequency - 2.3019915790921065877629772331   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 89   |    Processor Cache Frequency - 2.2959034816812609457092819616   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1098.0407955866900175131348512
TimeStamp - 2021-03-10_11-28-49-478   |    CPU Utilization - 100   |    Memory Utilization - 3830   |    Package TDP - 13.912647414073750008789365345   |    Max Core Frequency - 2.2586937969461245857590080001   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 88   |    Processor Cache Frequency - 2.5906310855822222222222222223   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1096.0362285155555555555555556
TimeStamp - 2021-03-10_11-28-51-040   |    CPU Utilization - 100   |    Memory Utilization - 3829   |    Package TDP - 14.583848915779247100393779371   |    Max Core Frequency - 2.5072615089341564112034545454   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Package Temperature - 88   |    Processor Cache Frequency - 2.0958354381527531083481349910   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Processor Graphics Frequency - 1097.8185628419182948490230906
