TimeStamp - 2021-03-10_12-23-19-160   |    CPU Utilization - 100   |    Memory Utilization - 3800   |    Package Temperature - 85   |    Max Core Frequency - 2.565079554927964545921556145   |    Processor Cache Frequency - 2.5936804763218390804597701149   |    Processor Graphics Frequency - 1097.3263553669319186560565871   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.509127646801238582430096604   |    Core 0 Frequency - 2.5713293922274   |    Core 1 Frequency - 2.57132922186071
TimeStamp - 2021-03-10_12-23-20-314   |    CPU Utilization - 100   |    Memory Utilization - 3800   |    Package Temperature - 90   |    Max Core Frequency - 2.5501055818218970991808920606   |    Processor Cache Frequency - 2.5948287424085637823371989294   |    Processor Graphics Frequency - 1097.8121602497769848349687778   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.122263253635669058772685233   |    Core 0 Frequency - 2.55518114995297   |    Core 1 Frequency - 2.55518771022345
TimeStamp - 2021-03-10_12-23-21-833   |    CPU Utilization - 100   |    Memory Utilization - 3812   |    Package Temperature - 83   |    Max Core Frequency - 2.5456803760925726053084666072   |    Processor Cache Frequency - 2.5960579295458593054318788957   |    Processor Graphics Frequency - 1098.3322009617097061442564559   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.122263253635669058772685233   |    Core 0 Frequency - 2.54954227852202   |    Core 1 Frequency - 2.54954594907616
TimeStamp - 2021-03-10_12-23-23-356   |    CPU Utilization - 100   |    Memory Utilization - 3812   |    Package Temperature - 89   |    Max Core Frequency - 2.5628456876452770909098324422   |    Processor Cache Frequency - 2.5923984416399286987522281641   |    Processor Graphics Frequency - 1096.7839560784313725490196079   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.540839193952272780767720348   |    Core 0 Frequency - 2.5703564518693   |    Core 1 Frequency - 2.57036058996491
TimeStamp - 2021-03-10_12-23-24-954   |    CPU Utilization - 100   |    Memory Utilization - 3811   |    Package Temperature - 89   |    Max Core Frequency - 2.521776099942079253141740675   |    Processor Cache Frequency - 2.5949957619893428063943161634   |    Processor Graphics Frequency - 1097.8828223801065719360568384   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.286580444718326841452446305   |    Core 0 Frequency - 2.52663913979692   |    Core 1 Frequency - 2.52663630917917
TimeStamp - 2021-03-10_12-23-26-382   |    CPU Utilization - 100   |    Memory Utilization - 3810   |    Package Temperature - 89   |    Max Core Frequency - 2.5334702715152192368503466666   |    Processor Cache Frequency - 2.4944660532859680284191829485   |    Processor Graphics Frequency - 1097.5650634458259325044404973   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.069446074856752124915609258   |    Core 0 Frequency - 2.55253566516235   |    Core 1 Frequency - 2.55253773686769
TimeStamp - 2021-03-10_12-23-28-264   |    CPU Utilization - 100   |    Memory Utilization - 3808   |    Package Temperature - 89   |    Max Core Frequency - 2.5070777516526888176418113207   |    Processor Cache Frequency - 2.591148234824797843665768194   |    Processor Graphics Frequency - 1096.2550224258760107816711590   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.015100512357111856781708967   |    Core 0 Frequency - 2.51564231898826   |    Core 1 Frequency - 2.51564169521634
TimeStamp - 2021-03-10_12-23-30-232   |    CPU Utilization - 100   |    Memory Utilization - 3801   |    Package Temperature - 89   |    Max Core Frequency - 2.5083108308008085362637726466   |    Processor Cache Frequency - 2.4928499352262644188110026620   |    Processor Graphics Frequency - 1096.8539714995563442768411713   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 16.074247820932220446927096664   |    Core 0 Frequency - 2.48356121402301   |    Core 1 Frequency - 2.48356382683886
TimeStamp - 2021-03-10_12-23-32-217   |    CPU Utilization - 100   |    Memory Utilization - 3809   |    Package Temperature - 86   |    Max Core Frequency - 2.4852775750248971879670968889   |    Processor Cache Frequency - 2.5947556645688888888888888889   |    Processor Graphics Frequency - 1097.7354830061892130857648099   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.737718191369392065016148899   |    Core 0 Frequency - 2.49030064113506   |    Core 1 Frequency - 2.49030025904029
TimeStamp - 2021-03-10_12-23-33-823   |    CPU Utilization - 100   |    Memory Utilization - 3804   |    Package Temperature - 89   |    Max Core Frequency - 2.4471155840927466658579477006   |    Processor Cache Frequency - 2.3934217328764652840396753832   |    Processor Graphics Frequency - 1096.9849609017132551848512173   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.312203299221823478311269237   |    Core 0 Frequency - 2.45384142758836   |    Core 1 Frequency - 2.45383520935049
TimeStamp - 2021-03-10_12-23-35-471   |    CPU Utilization - 100   |    Memory Utilization - 3799   |    Package Temperature - 89   |    Max Core Frequency - 2.4738270769033960419729945947   |    Processor Cache Frequency - 2.5967132936216216216216216217   |    Processor Graphics Frequency - 1098.6094703783783783783783784   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 14.676053586275174760149216177   |    Core 0 Frequency - 2.47695435276293   |    Core 1 Frequency - 2.47695824400322
TimeStamp - 2021-03-10_12-23-36-967   |    CPU Utilization - 100   |    Memory Utilization - 3799   |    Package Temperature - 89   |    Max Core Frequency - 2.5038682790431889259524310953   |    Processor Cache Frequency - 2.5924997522511210762331838564   |    Processor Graphics Frequency - 1096.8268182600896860986547085   |    Active Core Count - 2   |    Thermal Throttling - 1   |    Power Limit Throttling - 0   |    Current/EDP Limit Throttling - 0   |    Package TDP - 15.652942861739175146321353885   |    Core 0 Frequency - 2.51077090194038   |    Core 1 Frequency - 2.43788120065689
